id,rate
1001,23.22
1003,29.71
1005,24.37
1007,25.68
1009,25.68
1011,23.22
1013,23.22
1015,24.21
1017,23.45
1019,24.21
1021,25.68
1023,26.47
1025,29.71
1027,24.21
1029,24.21
1031,24.37
1033,25.75
1035,29.71
1037,23.22
1039,29.71
1041,23.22
1043,25.68
1045,24.37
1047,23.22
1051,23.22
1053,29.71
1055,24.21
1057,25.68
1059,25.75
1061,24.37
1063,25.68
1065,25.68
1067,24.37
1069,24.37
1071,25.75
1073,25.68
1075,25.68
1077,25.75
1079,25.81
1081,23.22
1083,25.81
1085,23.22
1087,23.22
1089,25.81
1091,25.68
1093,25.75
1095,25.81
1097,29.71
1099,29.71
1101,23.22
1103,25.81
1105,25.68
1107,25.68
1109,23.22
1111,24.21
1113,23.22
1117,25.68
1115,25.68
1119,26.47
1121,24.21
1123,23.22
1125,25.68
1127,25.68
1129,29.71
1131,23.22
1133,25.75
5001,24.16
5003,24.16
5005,24.16
5007,27.74
5009,24.16
5011,24.16
5013,24.16
5015,27.74
5017,24.16
5019,24.16
5021,24.16
5023,24.16
5025,24.16
5027,24.77
5029,24.16
5031,26.74
5033,27.74
5035,26.74
5037,26.74
5039,24.16
5041,24.16
5043,24.16
5045,24.16
5047,24.16
5049,24.16
5051,24.16
5053,24.16
5055,24.16
5057,24.77
5059,24.16
5061,24.77
5063,24.16
5065,24.16
5067,24.16
5069,24.16
5071,24.16
5073,24.77
5075,24.16
5077,26.74
5079,24.16
5081,24.77
5083,24.16
5085,24.16
5087,27.74
5089,24.16
5091,24.77
5093,26.74
5095,24.16
5097,24.16
5099,24.77
5101,24.16
5103,24.16
5105,24.16
5107,24.16
5109,24.16
5111,26.74
5113,24.16
5115,24.16
5117,24.16
5119,24.16
5121,24.16
5125,24.16
5127,24.16
5129,24.16
5131,27.74
5133,24.77
5135,24.16
5123,26.74
5137,24.16
5139,24.16
5141,24.16
5143,27.74
5145,24.16
5147,24.16
5149,24.16
4001,29.89
4005,29.89
4007,28.46
4009,27.52
4011,27.52
4012,27.53
4013,29.11
4015,31.25
4017,29.89
4021,29.11
4025,28.46
4027,27.53
6001,34.64
6003,29.25
6005,29.25
6007,29.25
6009,28.49
6011,29.25
6013,34.64
6015,29.25
6017,30.06
6019,25.27
6021,29.25
6023,29.25
6025,27.53
6027,31.25
6029,29.98
6031,25.27
6033,29.25
6035,27.96
6037,29.98
6039,25.27
6039,27.96
6039,28.49
6041,34.64
6043,28.49
6045,33.19
6047,28.49
6049,29.25
6051,27.96
6053,29.38
6055,34.64
6057,30.06
6059,29.98
6061,30.06
6063,29.25
6065,29.47
6065,29.98
6067,30.06
6069,29.38
6071,29.98
6071,29.47
6073,28.14
6075,34.64
6077,30.11
6079,27.73
6081,34.64
6083,27.98
6085,34.64
6087,34.64
6089,29.25
6091,29.25
6093,29.25
6095,34.64
6097,34.64
6099,28.49
6101,30.06
6103,29.25
6105,29.25
6107,25.27
6109,28.49
6111,29.98
6113,30.06
6115,30.06
8001,28.45
8003,24.01
8005,28.45
8007,24.01
8009,24.01
8011,24.01
8013,28.45
8014,28.45
8015,24.01
8017,24.01
8019,28.45
8021,24.01
8023,24.01
8025,24.01
8027,24.01
8029,24.01
8031,28.45
8033,29.89
8035,28.45
8037,28.11
8039,28.45
8045,28.11
8047,28.45
8049,28.11
8051,24.01
8051,29.89
8053,24.01
8055,24.01
8057,28.11
8059,28.45
8061,24.01
8063,24.01
8067,29.89
8065,28.11
8069,28.45
8071,24.01
8073,24.01
8075,28.11
8077,27.37
8079,24.01
8081,27.37
8083,29.89
8085,29.89
8087,28.11
8089,24.01
8091,29.89
8093,28.45
8095,28.11
8097,28.11
8099,24.01
8103,28.11
8105,24.01
8107,28.11
8109,24.01
8111,29.89
8113,29.89
8115,28.11
8117,28.11
8121,28.11
8123,28.45
8125,28.11
9001,27.17
9003,26.92
9005,27.17
9007,26.92
9009,27.17
9011,24.87
9013,26.92
9015,24.87
11001,30.62
10001,29.43
10003,29.43
10005,29.23
12001,25.33
12003,25.33
12005,25.3
12007,25.33
12009,27.92
12011,27.34
12013,25.3
12015,25.57
12017,25.33
12019,25.33
12021,27.02
12023,25.33
12027,25.57
12029,25.33
12031,25.33
12033,29.71
12035,25.33
12037,25.3
12039,25.3
12041,25.33
12043,27.02
12045,25.3
12047,25.33
12049,25.57
12051,27.02
12053,25.57
12055,27.02
12057,25.57
12059,25.3
12061,27.92
12063,25.3
12065,25.3
12067,25.33
12069,25.33
12071,25.57
12073,25.3
12075,25.33
12077,25.3
12079,25.33
12081,25.57
12083,25.33
12085,27.34
12086,27.34
12087,27.34
12089,25.33
12091,29.71
12093,27.34
12095,25.33
12097,25.33
12099,27.34
12101,25.57
12103,25.57
12105,25.57
12107,25.33
12113,29.71
12115,25.57
12117,25.33
12109,25.33
12111,27.34
12119,25.33
12121,25.33
12123,25.33
12125,25.33
12127,25.33
12129,25.3
12131,29.71
12133,25.3
13001,27.83
13003,26.69
13005,27.83
13007,26.69
13009,26.45
13011,31.4
13013,32.07
13015,32.07
13017,26.69
13019,26.69
13021,26.45
13023,26.45
13025,27.83
13027,26.69
13029,27.83
13031,27.83
13033,26.26
13035,32.07
13037,26.69
13039,25.33
13043,27.83
13045,32.07
13047,26.39
13049,25.33
13051,27.83
13053,23.22
13055,31.4
13057,32.07
13059,32.07
13061,24.37
13063,32.07
13065,26.69
13067,32.07
13069,26.69
13071,26.69
13073,26.26
13075,26.69
13077,32.07
13079,26.45
13081,26.45
13083,26.39
13085,32.07
13087,26.69
13089,32.07
13091,26.45
13093,26.45
13095,26.69
13097,32.07
13099,24.37
13101,26.69
13103,27.83
13105,26.26
13107,26.26
13109,27.83
13111,31.4
13113,32.07
13115,31.4
13117,32.07
13119,31.4
13121,32.07
13123,31.4
13125,26.26
13127,27.83
13129,32.07
13131,26.69
13133,31.4
13135,32.07
13137,31.4
13139,32.07
13141,26.45
13143,32.07
13145,23.22
13147,26.26
13149,32.07
13151,32.07
13153,26.45
13155,26.69
13157,32.07
13159,32.07
13161,27.83
13163,26.26
13165,26.26
13167,26.45
13169,26.45
13171,32.07
13173,26.69
13175,26.45
13177,26.69
13179,27.83
13181,26.26
13183,27.83
13185,26.69
13187,31.4
13193,26.45
13195,32.07
13197,23.22
13189,26.26
13191,27.83
13199,32.07
13201,24.37
13205,26.69
13207,26.45
13209,26.45
13211,32.07
13213,31.4
13215,23.22
13217,32.07
13219,32.07
13221,32.07
13223,32.07
13225,26.45
13227,32.07
13229,27.83
13231,32.07
13233,32.07
13235,26.45
13237,26.45
13239,23.22
13241,31.4
13243,26.69
13245,26.26
13247,32.07
13249,23.22
13251,27.83
13253,24.37
13255,32.07
13257,31.4
13259,23.22
13261,26.69
13263,23.22
13265,26.26
13267,27.83
13269,23.22
13271,26.45
13273,26.69
13275,26.69
13277,26.69
13279,27.83
13281,31.4
13283,26.45
13285,23.45
13287,26.69
13289,26.45
13291,31.4
13293,26.88
13295,26.39
13297,32.07
13299,26.69
13301,26.26
13303,26.45
13305,27.83
13307,23.22
13309,26.45
13311,31.4
13313,31.4
13315,26.45
13317,26.26
13319,26.45
13321,26.69
15001,34.04
15003,34.04
15005,34.04
15007,34.04
15009,34.04
19001,27.01
19003,24.54
19005,28.59
