A011 : Little Rock, Arkansas : 28.62
A012 : Fresno, California : 30.57
A016 : San Bernardino-Riverside-Ontario, California : 37.43
A017 : San Diego, California : 34.29
A018 : San Francisco, California : 40.80
A024 : New Haven-Hartford, Connecticut : 36.57
A031 : Miami, Florida : 33.85
A040 : Columbus, Georgia : 30.76
A061 : New Orleans, Louisiana : 34.30
A067 : Hagerstown-Martinsburg-Chambersburg, Maryland : 33.08
A069 : Central and Western Massachusetts : 35.44
A076 : Biloxi, Mississippi : 32.80
A087 : Portsmouth, New Hampshire : 35.43
A094 : New York, New York : 37.03
A095 : Northern New York : 31.46
A124 : Memphis, Tennessee : 35.76
A140 : Norfolk-Portsmouth-Newport News-Hampton, Virginia : 35.49
A223 : Southern Colorado : 33.94
A269 : Central and Western Massachusetts : 35.44
B025 : New London, Connecticut : 34.70
B066 : Baltimore, Maryland : 39.14
B068 : Boston, Massachusetts : 35.84
B118 : Narragansett Bay, Rhode Island : 34.69
B138 : Wichita Falls, Texas - Southwestern Oklahoma : 29.65
C022 : Denver, Colorado : 34.36
C027 : Washington, District of Columbia : 39.14
C222 : Denver, Colorado (HAATS) : 33.92
